,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماره","خوشه","نام گروه","نام استاندارد","کد استاندارد قدیم","ISCO",,,,,,,,,,,,,,,"پیشنیاز","سطح تحصيلات ورودي","ساعت- نظری","ساعت-عملی","ساعت-کارورزی","ساعت-پروژه","ساعت کل","کارو دانش","نوع","نام استاندارد به لاتین","تاریخ تدوین و به روز رسانی"
,,,,,"نسخه","کد شایستگی",,,"کد شغل",,,"کد گروه",,,"سطح مهارت","کد ISCO",,,,,,,,,,,,,,
"4776","صنعت","برق","عیب یابی تابلوهای برق چاه های کشاورزی","-","1","3","0","0","3","0","0","5","0","0","2","2","1","4","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","10","30","0","0","40","هیچ کدام","شایستگی","Troubleshooting Electrical panel  for  Agricultural Wells ","1398/3/5"
"4777","فرهنگ و هنر","فناوری نرم وفرهنگی","مدیریت رسانه ای بحران","-","1","1","0","0","0","0","0","3","7","0","4","9","4","3","1","ندارد","لیسانس","85","110","0","0","195","هیچ کدام","شایستگی","Crisis management","1398/3/11"
"4778","صنعت","حمل ونقل زمینی","رانندگی محموله های خطرناك","-","1","1","0","0","5","1","0","3","1","0","2","2","3","3","8","رانندگي باري (مقدماتي) با کد 833220130170011","پایان دوره متوسطه اول (پایان دوره راهنمایی)","14","10","0","0","24","هیچ کدام","شایستگی","Dangerous goods driving","1398/3/8"
"4779","خدمات","بهداشت و ایمنی","فرماندهی سوانح و حریق","541120470030001","1","1","0","0","4","0","0","7","4","0","2","1","1","4","5","گذارندن دوره تکنسین عملیات امداد و نجات آتش نشانی با کد 541120470010001 یا آتش نشانی صنعتی با کد 541120470040001 ","دیپلم با 10 سال سابقه کار در واحدهای عملیات آتش نشانی","47","87","0","0","134","هیچ کدام","شایستگی","FIRE AND ACCIDENTS COMMAND ICS (incident command system) Iocm (incident operation command system)","1398/1/20"
"4780","صنعت","کنترل وابزار دقیق","راه اندازی سیستم های کنترل حرکتی با BECKHOFF ","-","1","5","0","0","3","1","0","1","3","0","3","9","3","1","3","برنامه نویسی با Twincat3 BECKHOFF‍‍‍‍‍ ‍‍‍‍‍ با کد 313930310130031","کاردانی برق","12","38","0","0","50","هیچ کدام","شایستگی","Beckhoff  Motion Control","1398/3/20"
"4781","صنعت","کنترل وابزار دقیق","راه اندازي شبکه هاي ارتباطي BECKHOFF‍‍‍‍‍","-","1","4","0","0","3","1","0","1","3","0","3","9","3","1","3"," برنامه نویسی با نرم‌افزار Twincat2 BECKHOFF‍‍‍‍‍ ‍‍‍‍ با کد 313930310130021","کاردانی برق","8","24","0","0","32","هیچ کدام","شایستگی","Beckhoff Industrial Automation Network","1398/3/20"
"4782","صنعت","کنترل وابزار دقیق","برنامه نويسي با نرم افزار Twincat2 BECKHOFF‍‍‍‍‍","-","1","2","0","0","3","1","0","1","3","0","3","9","3","1","3","پیکربندی سخت افزاری و نرم افزاری BECKHOFF با کد 313930310130011","کاردانی برق","15","45","0","0","60","هیچ کدام","شایستگی","Beckhoff TwinCAT 2 PLC Programming","1398/3/20"
"4783","صنعت","کنترل وابزار دقیق","برنامه نويسي با نرم افزار Twincat3 BECKHOFF‍‍‍‍‍","-","1","3","0","0","3","1","0","1","3","0","3","9","3","1","3","برنامه نویسی با نرم افزار Twincat2 BECKHOFF‍‍‍‍‍ ‍‍‍‍‍ با کد 31393310130021","کاردانی برق","15","45","0","0","60","هیچ کدام","شایستگی","Beckhoff TwinCAT 3 PLC Programming","1398/3/20"
"4784","صنعت","کنترل وابزار دقیق","پیکربندی سخت افزاری و نرم افزاری BECKHOFF","*","1","1","0","0","3","1","0","1","3","0","3","9","3","1","3","کار با اجزای سیستم های کنترل صنعتی با کد 313930310050011","کاردانی برق","8","24","0","0","32","هیچ کدام","شایستگی","Beckhoff  Industrial Automation Configuration  ","1398/3/20"
"4785","صنعت","کنترل وابزار دقیق","مانیتورینگ با BECKHOFF","-","1","6","0","0","3","1","0","1","3","0","3","9","3","1","3","برنامه نویسی با نرم افزار Twincat3 BECKHOFF‍‍‍‍‍ ‍‍‍‍ با کد 313930310130031","کاردانی برق","8","24","0","0","32","هیچ کدام","شایستگی","Beckhoff  TwinCAT HMI","1398/3/20"
"4786","خدمات","صنایع پوشاک","رفوگر پارچه","-","1","0","0","0","3","0","0","1","5","0","2","3","3","5","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","50","180","0","0","230","هیچ کدام","شغل","cloth darner","1398/3/18"
"4787","صنعت","فناوری ارتباطات","راه اندازی سیگنالینگ شبکه مخابراتی ","-","1","1","0","0","5","0","0","5","3","0","3","2","2","5","3","ندارد","فوق دیپلم  برق و فناوری اطلاعات  ","43","60","0","0","103","هیچ کدام","شایستگی"," (7 . Signaling System No)  Set up telecommunication signaling","1398/2/25"
"4788","صنعت","معماری","شیت بندی معماری با نرم افزار InDesign","-","1","1","1","0","2","0","0","0","3","0","3","2","3","4","3","ندارد","فوق ديپلم معماري، عمران و نقشه کشی","28","55","0","0","83","هیچ کدام","شایستگی","Arrangement of architectural sheets By InDesign Software","1398/3/26"
"4789","صنعت","متالورژی","مدل ساز قطعات","-","2","0","0","0","1","0","0","3","3","0","2","2","2","2","7","ندارد","دیپلم فنی","48","128","0","0","176","هیچ کدام","شغل","Pattern making","1398/2/1"
"4790","فرهنگ و هنر","صنایع دستی (دوخت های سنتی)","روبان دوزی","-","1","1","0","0","0","0","0","1","8","0","2","8","1","3","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","29","111","0","0","140","هیچ کدام","شایستگی","Embroidery ribbon","1398/2/22"
"4791","کشاورزی","امور زراعی","کشت گلخانه ای زعفران (فوگ پونیک)","-","1","1","0","0","3","4","0","2","6","0","2","1","1","1","6","زعفران کار با کد 611120620430001","پایان دوره اول متوسطه (پایان دوره راهنمایی)","40","55","0","0","95","هیچ کدام","شایستگی","Green House Cultivator (FogPonic)","1398/3/20"
"4792","کشاورزی","امور باغی","هرس کاري انجیر","-","1","2","0","0","6","7","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","25","75","0","0","100","هیچ کدام","شایستگی","PRUNINGER","1398/3/5"
"4793","صنعت","مکانیک","سازنده سازه های دینامیکی","-","1","0","0","0","1","0","0","1","4","0","2","4","1","2","7","ندارد","دیپلم رشته های فنی","137","343","0","0","480","هیچ کدام","شغل","Dynamic Structures Manufacturer","1398/3/26"
"4794","کشاورزی","امور زراعی","مبارزه با علف های هرز مناطق خشک و نیمه خشک ","-","1","7","0","0","5","1","0","2","6","0","2","3","1","1","6","ندارد","پایان دوره متوسطه اول ( پایان دوره راهنمایی)","70","130","0","0","200","هیچ کدام","شایستگی","Weed identification in arid and semi-arid regions and their control","1398/3/12"
"4795","فرهنگ و هنر","هنرهای تزئینی","ساخت ملیله کنف","-","1","1","0","0","4","0","0","5","8","0","2","7","1","3","7","ندارد","پایان دوره اول متوسطه ( پایان دوره راهنمایی)","40","80","0","0","120","هیچ کدام","شایستگی","Hemp Tapestry Making","1398/4/2"
"4796","صنعت","معماری","تهیه و تفسیر تصاویر ماهواره ای با Google Earth pro","-","1","3","2","0","0","0","0","9","2","0","3","2","1","1","3","ندارد","فوق دیپلم نقشه برداری یا عمران یا معماری","15","40","0","0","55","هیچ کدام","شایستگی","Preparation And Interpretation Of Satellite Pictures By Google Earth pro","1398/3/26"
"4797","فرهنگ و هنر","هنرهای تجسمی","نقاش دیجیتال","-","1","0","0","0","0","7","0","3","8","0","2","6","1","3","7","نقاش مقدماتی با کد 1-074-83-2651 ","پایان دوره اول متوسطه (پایان دوره راهنمایی)","72","248","0","0","320","هیچ کدام","شغل","Digital painter","1398/4/16"
"4798","کشاورزی","امور دام و ماکیان","پرورش حشره بالتوری سبز","-","1","1","0","0","5","7","0","3","6","0","2","3","2","1","6","ندارد","پایان دوره متوسطه اول ( پایان دوره راهنمایی)","48","92","0","0","140","هیچ کدام","شایستگی","Producer organic greenhouse products","1398/3/12"
"4799","صنعت","الکترونیک","تعمیر برد لباسشویی و ظرفشویی","-","1","1","0","0","5","2","0","3","0","0","2","1","2","4","7","ندارد","دیپلم فنی","90","130","0","0","220","هیچ کدام","شایستگی","Washing machine and dishwasher pcb repair","1398/3/26"
"4800","خدمات","امور اداری","تحلیل آمار توصیفی با استفاده از نرم افزار SPSS","-","1","1","0","0","0","0","0","3","4","0","3","4","1","3","3","کاربر رایانه با کد 73210530130001","دیپلم","27","45","0","0","72","هیچ کدام","شایستگی","Descriptive statistics analysis using SPSS software","1398/5/1"
"4801","صنعت","حمل ونقل زمینی","اپراتور جرثقیل برجی (تاور کرین)","834320130130001","2","0","0","0","3","1","0","3","1","0","2","3","4","3","8","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی) ","38","82","0","0","120","هیچ کدام","شغل","Operation tower crane","1398/1/27"
"4802","صنعت","کنترل وابزار دقیق","راه اندازی سیستم کنترل هوشمند هواساز‍‍‍‍‍","-","1","1","0","0","0","0","0","1","3","0","3","9","3","1","3","کار با قطعات پایه و وسایل اندازه گیری الکتریکی با کد 741220050010011","دیپلم فنی","23","44","0","0","67","هیچ کدام","شایستگی","The air Conditioners intelligent control system installation ","1398/4/30"
"4803","کشاورزی","گياهان دارويي و داروهای گیاهی","تکثیر و پرورش قارچ های خوراکی - دارویی (گانودرما – کفیر -کامبوجیا)","-","1","1","0","0","1","9","0","5","0","1","2","1","1","1","6","ندارد","پایان دوره متوسطه اول (پایان دوره راهنمایی)","36","64","0","0","100","هیچ کدام","شایستگی","Multiplier and Breeder of Medicinal and Food Mushrooms (Kefir - Kampuchea - Ganoderma)","1398/5/26"
"4804","کشاورزی","زیست فناوری","ریزازدیادی و کشت بافت تجاری گیاهان آبزی ","-","1","1","0","0","8","0","0","9","9","0","4","1","3","1","2","ندارد","فوق دیپلم تکنولوژی تولیدات گیاهی  ","15","30","0","0","45","هیچ کدام","شایستگی","Principles of commercial micro propagation and tissue culture of aquatic plants  ","1398/5/26"
"4805","خدمات","گردشگری","نقشه خوانی و مسیر یابی تورهای گردشگری","-","1","0","1","0","0","1","0","5","5","0","2","3","1","1","5","ندارد","پایان دوره متوسطه دوم (دیپلم)","16","29","0","0","45","هیچ کدام","شایستگی","Map reading and browsing tour guides","1398/5/22"
"4806","خدمات","گردشگری","استقرار و بقا در طبیعت در شرایط دشوار ","-","1","3","0","0","8","0","0","5","5","0","2","3","1","1","5","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","40","80","0","0","120","هیچ کدام","شایستگی","Establishment and survival in nature are difficult conditions","1398/2/24"
"4807","خدمات","بهداشت و ایمنی","سرپرست عملیات امداد و نجات آتش نشانی","541120470010001","2","0","0","0","1","0","0","7","4","0","2","1","1","4","5","امدادگر حوادث با کد 541120470020001","پایان دوره متوسطه دوم (دیپلم )","52","123","0","0","175","هیچ کدام","شغل","FIREFIGHTING  RESCUE  OPERATIONS  SUPERVISOR ","1398/5/26"
"4808","فرهنگ و هنر","هنرهای تجسمی","مرمت نسخ خطي و اسناد تاريخي","-","1","1","0","0","0","0","0","3","8","0","2","6","1","3","7","ندارد","پایان دوره متوسطه دوم (ديپلم)","22","128","0","0","150","هیچ کدام","شایستگی","Restoration of historical documents, antiquarian books and manuscripts","1398/5/8"
"4809","صنعت","صنایع شیمیایی","کاربری دستگاه SEM (میکروسکوپ الکترونی روبشی)","313330400060001","1","5","0","0","2","0","0","0","4","0","3","3","3","1","3","ندارد","کاردانی و یا مهندسی متالورژی، مهندسی شیمی یا نانومواد ","40","80","0","0","120","هیچ کدام","شایستگی","SEM Operator","1398/4/17"
"4810","خدمات","خدمات تغذیه ای","تزیین کیک ","751220670310131","1","1","0","0","4","3","0","7","6","0","2","2","1","5","7","کیک ساز با کد 751220670340001 ","پایان دوره اول متوسطه(پایان دوره راهنمایی)","19","64","0","0","83","هیچ کدام","شایستگی","Cake decorator ","1398/1/24"
"4811","فرهنگ و هنر","صنایع دستی (دوخت های سنتی)","کاموا ، کوبلن وشماره دوزی","731820810570001","1","2","0","0","0","0","0","1","8","0","2","8","1","3","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","18","77","0","0","95","هیچ کدام","شایستگی","Comva,kublen embroidered","1398/6/5"
"4812","خدمات","امور مالی و بازرگانی","مسئول خرید خارجی ","432120450030001","1","0","0","0","8","0","0","5","4","0","3","3","2","3","3","ندارد","فوق دیپلم حسابداری ، مدیریت بازرگانی، مدیریت دولتی","48","70","0","0","118","هیچ کدام","شغل","Foreign Purchasing Officer","1398/6/16"
"4813","صنعت","صنایع خودرو","پنچرگیری","-","1","1","0","0","1","1","0","1","0","0","2","1","3","2","7","ندارد","پایان دوره اول متوسطه ( پایان دوره راهنمایی )","30","80","0","0","110","هیچ کدام","شایستگی","treatmemt Automotive tire","1398/4/17"
"4814","صنعت","صنایع خودرو","سرویس و نگهداری گيربكس و ديفرانسيل خودروهاي سواری معمولی (چهار چرخ محرک)4WD","-","1","1","0","0","3","3","0","1","0","0","2","1","3","2","7","ندارد","پایان دوره اول متوسطه ( پایان دوره راهنمایی)","15","65","0","0","80","هیچ کدام","شایستگی","Four-wheel drive gearbox and differential repairer     ","1398/5/19"
"4815","خدمات","فناوری اطلاعات","نصب ، پیکربندی و مدیریت شبکه با  Kerio Control","-","1","1","0","0","0","2","0","3","5","0","2","1","2","3","7","ندارد","دیپلم کامپیوتر","20","50","0","0","70","هیچ کدام","شایستگی","Install, configure, and manage the network with Kerio Control","1398/6/3"
"4816","خدمات","فناوری اطلاعات","ایمن سازی، امنیت اطلاعات و ارتباط کاربر CSCU (Certificate Secure Computer User)","-","1","1","0","0","1","2","0","3","5","0","2","1","2","3","7","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","20","50","0","0","70","هیچ کدام","شایستگی","CSCU EC-Council Certified Secure Computer Use","1398/5/22"
"4817","خدمات","فناوری اطلاعات","برنامه نویسی زبان JavaScript","-","1","1","0","0","9","1","0","3","5","0","2","1","2","3","7","ندارد","دیپلم کامپیوتر","29","61","0","0","90","هیچ کدام","شایستگی","JavaScript Programmer for web Applications","1398/6/3"
"4818","فرهنگ و هنر","هنرهای نمایشی","سینماتور","-","1","1","0","0","0","0","0","7","8","0","2","5","3","4","3","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","38","147","0","0","185","هیچ کدام","شایستگی","Digital art Digital painting","1398/6/5"
"4819","فرهنگ و هنر","صنایع دستی (دوخت های سنتی)","سوزن دوزی شاهکوه","-","1","3","0","0","0","0","0","1","8","0","2","8","1","3","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","16","64","0","0","80","هیچ کدام","شایستگی","Shahku Embrodri","1398/6/9"
"4820","صنعت","پلیمر","ارزیابی انطباق با قانون ریچ","-","1","3","0","0","7","0","0","6","2","0","4","5","4","1","2","ندارد","کاردانی شیمی  ","30","70","0","0","100","هیچ کدام","شایستگی","Environmental and Compliance With Richs Law","1398/5/19"
"4821","صنعت","برق","کمک برقکار ","-","1","0","0","0","7","0","0","5","0","0","2","1","1","4","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی) ","100","284","0","0","384","هیچ کدام","شغل","Electrician Helper","1398/6/6"
"4822","صنعت","فناوري انرژي های نو و تجدید پذیر","اجرای سیستم های حفاظت از سقوط در احداث سیستم های فتوولتائیک خانگی و صنعتی","-","1","1","0","0","0","0","0","7","0","0","3","7","5","2","3","ندارد","کاردانی فنی ایمنی کار و حفاظت فنی– کاردانی ایمنی صنعتی","30","90","0","0","120","هیچ کدام","شایستگی","Installation of fall protection in systems construction of domestic and industrial photovoltaic systems","1398/7/1"
"4823","صنعت","فناوري انرژي های نو و تجدید پذیر","بازاریاب سیستم های فتوولتائیک خانگی و صنعتی","-","1","0","0","0","1","0","0","7","0","0","3","2","2","3","3","ندارد","کاردانی فنی مهندسی و کاردانی مدیریت","48","84","0","0","132","هیچ کدام","شغل","-	domestic and industrial photovoltaic systems Marketer","1398/7/1"
"4824","صنعت","فناوري انرژي های نو و تجدید پذیر","بهره بردار و نگهدار سیستم های فتوولتائیک خانگی و صنعتی","-","1","0","0","0","0","5","0","7","0","0","3","1","3","1","3","ندارد","کاردانی برق","48","102","0","0","150","هیچ کدام","شغل","Domestic and industrial photovoltaic systems operator and maintainer","1398/7/1"
"4825","صنعت","فناوري انرژي های نو و تجدید پذیر","پتانسیل سنج و ارزیاب سایت در احداث سیستم های فتوولتائیک خانگی و صنعتی","-","1","0","0","0","1","5","0","7","0","0","3","1","3","1","3","ندارد","کاردانی ممیزی انرژی، برق، عمران، معماری، جغرافیا، محیط زیست","24","84","0","0","108","هیچ کدام","شغل","Potanical gouge and site evaluator of domestic and industrial photovoltaic systems","1398/7/1"
"4826","صنعت","فناوري انرژي های نو و تجدید پذیر","طراحی و اجرای سیستم های اعلام  و اطفاء حریق سیستم های فتوولتائیک خانگی و صنعتی","-","1","2","0","0","0","0","0","7","0","0","3","7","5","2","3","ندارد","کاردانی ایمنی صنعتی ، کاردانی فنی ایمنی کار و حفاظت فنی","36","84","0","0","120","هیچ کدام","شایستگی","-Design and install of fire alarm& firefighting of domestic and industrial photovoltaic systems","1398/7/1"
"4827","صنعت","فناوري انرژي های نو و تجدید پذیر","کاربر ثبت و امور اداری سیستم های فتوولتائیک خانگی و صنعتی","-","1","0","0","0","1","0","0","7","0","0","2","2","3","1","4","ندارد","پایان دوره متوسطه دوم (دیپلم)","30","84","0","0","114","هیچ کدام","شغل","User of registered and administered official in system construction  of domestic and industrial photovoltaic systems","1398/7/1"
"4828","صنعت","فناوري انرژي های نو و تجدید پذیر","مسئول پیاده¬سازی و نظارت بر اجرای الزامات HSE سیستم های فتوولتائیک خانگی و صنعتی","-","1","0","0","0","2","0","0","7","0","0","4","9","4","1","2","ندارد"," کارشناسی مهندسی صنایع گرایش ایمنی صنعتی ، کارشناسی ایمنی ، بهداشت و محیط زیست HSE، کارشناسی مهندسی ایمنی صنعتی ، کارشناسی مهندسی بهداشت حرفه ای","96","102","0","0","198","هیچ کدام","شغل","Responsible for implementation and monitoring of HSE requirement for domestic and industrial photovoltaic","1398/7/1"
"4829","صنعت","فناوري انرژي های نو و تجدید پذیر","نصاب پنل سیستم های فتوولتائیک خانگی و صنعتی","-","1","0","0","0","2","5","0","7","0","0","3","1","3","1","3","ندارد","کاردانی برق و یا دیپلم الکتروتکنیک یا  الکترونیک","42","180","0","0","222","هیچ کدام","شغل","	Domestic and industrial photovoltaic systems Panel installer","1398/7/1"
"4830","صنعت","فناوري انرژي های نو و تجدید پذیر","نصاب تجهیزات الکتریکی سیستم های فتوولتائیک خانگی و صنعتی","-","1","0","0","0","3","5","0","7","0","0","3","1","3","1","3","ندارد","کاردانی برق","48","180","0","0","228","هیچ کدام","شغل","Domestic and industrial photovoltaic systems supplies installer","1398/7/1"
"4831","خدمات","فناوری اطلاعات","بازی سازی با نرم افزار اسکرچ(Scratch)","216630530400011","1","1","0","0","0","0","0","3","5","0","2","1","2","3","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","35","50","0","0","85","هیچ کدام","شایستگی","Scratch Programing","1398/6/11"
"4832","خدمات","صنایع پوشاک","خیمه دوزی","-","1","1","0","0","1","0","0","1","5","0","2","3","3","5","7","ندارد"," پایان دوره اول متوسطه (پایان دوره راهنمایی)","23","97","0","0","120","هیچ کدام","شایستگی","sewing the tent","1398/6/17"
"4833","صنعت","حمل ونقل زمینی","متصدی بارگیری در سامانه های هوشمند حمل بار","-","1","0","0","0","1","0","0","3","1","0","2","1","2","3","4","ندارد","پایان دوره  اول متوسطه (پایان دوره راهنمایی)","45","80","0","0","125","هیچ کدام","شغل","Loader operator on smart cargo transportation systems","1398/6/13"
"4834","صنعت","مدیریت  صنایع","مدیریت پروژه بر اساس الگوی PMBOK","214140370060051","2","5","0","0","6","0","0","7","3","0","4","1","4","1","2","ندارد","لیسانس رشته های مهندسی یا مدیریت صنعتی","12","30","0","0","42","هیچ کدام","شایستگی","Project Management Body of Knowledge","1398/6/3"
"4835","صنعت","الکترونیک","تعمیر کار برد الکترونیکی دستگاه های ورزشی (تردمیل-دستگاه آنالیز بدن-دوچرخه ثابت-استپر)","-","1","0","0","0","6","2","0","3","0","0","2","1","2","4","7","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی) ","85","165","0","0","250","هیچ کدام","شغل","Repair Electronic board of sports equipment","1398/6/20"
"4836","فرهنگ و هنر","صنایع دستی (چوب، فلز، سفال، چاپ، سنگ ،شیشه ، چرم)","دوخت مشک چرمی","-","1","1","0","0","0","0","0","7","7","0","2","8","1","3","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","20","70","0","0","90","هیچ کدام","شایستگی","sewing leather waterskin","1398/6/31"
"4837","خدمات","خدمات حقوقی","تنظیم قراردادهای پیمانکاری (ساخت و ساز) بین المللی","-","1","1","0","0","0","0","0","9","0","1","4","9","1","6","2","ندارد","کارشناسی","10","20","0","0","30","هیچ کدام","شایستگی","Drafting International Construction Contracts","1398/7/1"
"4838","خدمات","خدمات حقوقی","تنظیم قراردادهای کنسرسیوم، جوینت ونچر و مشارکت های عمومی – خصوصی بین المللی","-","1","4","0","0","0","0","0","9","0","1","4","9","1","6","2","ندارد","کارشناسی ","10","20","0","0","30","هیچ کدام","شایستگی","Drafting International Consortium, Joint venture, and Public-Private Partnership Contracts","1398/7/1"
"4839","خدمات","خدمات حقوقی","تنظیم قراردادهای صنعتی، انتقال تکنولوژی و لیسانس بین المللی","-","1","3","0","0","0","0","0","9","0","1","4","9","1","6","2","ندارد","کارشناسی","10","20","0","0","30","هیچ کدام","شایستگی","Drafting International Industrial, Technology Transfer and Licensing Contracts","1398/7/1"
"4840","خدمات","خدمات حقوقی","تنظیم قراردادهای تجاری (قراردادهای فروش، نمایندگی، توزیع و قراردادهای واگذاری) بین المللی","-","1","2","0","0","0","0","0","9","0","1","4","9","1","6","2","ندارد","کارشناسی","10","20","0","0","30","هیچ کدام","شایستگی","Drafting International Commercial Contracts (Sale, Agency, Distribution and Franchising Contracts)","1398/7/1"
"4841","صنعت","مدیریت  صنایع","برنامه ریزی و کنترل پروژه با نرم افزار MSP (Microsoft Project)","-","1","8","0","0","6","0","0","7","3","0","4","1","4","1","2","ندارد","کاردانی","8","32","0","0","40","هیچ کدام","شایستگی","Project planning and control with msp (Microsoft project software)","1398/7/7"
"4842","صنعت","معماری","نظارت بر اجرای اقامتگاه های بومگردی منطقه گيلان ","-","1","1","0","0","0","0","0","0","3","0","4","2","4","1","2","ندارد ","کارشناسی عمران یا معماری ","15","45","0","0","60","هیچ کدام","شایستگی","Supervision and implementation of ecolodge units (Gilan ecolodge) ","1398/7/6"
"4843","صنعت","معماری","طراحی نقشه های معماری  اقامتگاه های بومگردی منطقه گيلان ","-","1","1","0","0","0","0","0","0","3","0","4","1","6","1","2","ندارد","کارشناسی عمران یا معماری ","15","45","0","0","60","هیچ کدام","شایستگی","Desining the architectural maps of Gilan ecolodge","1398/7/6"
"4844","خدمات","خدمات تغذیه ای","حلواپزی مسقطی لاری","-","1","8","0","0","1","3","0","7","6","0","2","2","1","5","7","ندارد","پایان دوره اول متوسطه (پایان دوره راهنمایی)","25","85","0","0","110","هیچ کدام","شایستگی","Cooking lari masghati halva","1398/7/7"
"4845","خدمات","گردشگری","انجام فراخوان و اطلاع رسانی رویداد","-","1","1","0","0","1","0","0","5","5","0","3","3","4","3","3","ندارد","پایان دوره دوم متوسطه (دیپلم)","15","45","0","0","60","هیچ کدام","شایستگی","Execution recall and event’s notification","1398/7/13"
"4846","خدمات","گردشگری","انجام تشریفات رویداد","-","1","2","0","0","1","0","0","5","5","0","3","3","4","3","3","ندارد","پایان دوره دوم متوسطه(دیپلم)","15","45","0","0","60","هیچ کدام","شایستگی","Execution event’s formalities","1398/7/13"
"4847","خدمات","گردشگری","انجام امکان سنجی فنی و اقتصادی رویداد ","-","1","1","0","0","1","0","0","5","5","0","3","2","3","3","3","ندارد","کاردانی","15","45","0","0","60","هیچ کدام","شایستگی","Technical and economic feasibility","1398/7/13"
"4848","خدمات","گردشگری","زمان بندی و بودجه بندی رویداد","-","1","2","0","0","1","0","0","5","5","0","3","2","3","3","3","ندارد","کاردانی","15","45","0","0","60","هیچ کدام","شایستگی","Timing and budgeting the event","1398/7/13"
"4849","خدمات","گردشگری","برنامه ریزی اجرای رویداد ","-","1","3","0","0","1","0","0","5","5","0","3","2","3","3","3","ندارد","کاردانی","15","45","0","0","60","هیچ کدام","شایستگی","Event’s executive planning","1398/7/13"
"4850","خدمات","گردشگری","برندسازی و تبلیغات رویداد ","-","1","4","0","0","1","0","0","5","5","0","3","2","3","3","3","ندارد","کاردانی","15","45","0","0","60","هیچ کدام","شایستگی","Event’s branding and advertising","1398/7/13"
"4851","خدمات","گردشگری","طراحی رویداد ","-","1","1","0","0","2","0","0","5","5","0","3","9","3","4","1","ندارد","کاردانی","15","45","0","0","60","هیچ کدام","شایستگی","Event’s design","1398/7/13"
"4852","خدمات","گردشگری","مدیریت مالی رویداد ","-","1","2","0","0","2","0","0","5","5","0","3","9","3","4","1","ندارد","کاردانی مالی و بازرگانی ، حسابداری","15","45","0","0","60","هیچ کدام","شایستگی","The event’s financial management","1398/7/13"
"4853","خدمات","گردشگری","مدیریت اجرایی رویداد ","-","1","3","0","0","2","0","0","5","5","0","3","9","3","4","1","ندارد","کاردانی","15","45","0","0","60","هیچ کدام","شایستگی","Event’s executive management","1398/7/13"
"4854","صنعت","برق","تعمیر و نگهداری شبکه فشار ضعیف هوایی کابل خود نگهدار به روش خط گرم ","-","1","1","0","0","0","0","0","5","0","0","2","3","1","4","7","فن ورز شبکه هوایی برق با کد 741320050080001 –  احداث ، تعمیر ، سرویس و نگهداری شبکه کابل خودنگهدار با کد 741320050080011 ","دیپلم برق","36","49","0","0","85","هیچ کدام","شایستگی","Live Line Low Voltage Aerial bundled cable  Maintenance","1398/7/8"
"4855","صنعت","فناوري انرژي های نو و تجدید پذیر","طراحی سامانه های تامین انرژی در ساختمان انرژی صفر (zeb)","-","1","2","0","0","0","0","0","7","0","0","3","1","3","1","3","ندارد","كاردانی برق، مكانیک، معماری و عمران ( كلیه گرايش ها )","60","85","0","0","145","هیچ کدام","شایستگی","Design of energy supply systems for  Zero Energy Buildings (ZEB)","1398/7/8"
"4856","خدمات","بهداشت و ایمنی","منشی امور پزشکی","334430470020001-334430470010001","2","0","0","0","2","0","0","7","4","0","3","4","4","3","3","ندارد","پایان دوره متوسطه دوم(دیپلم)","37","83","0","0","120","هیچ کدام","شغل","Medical secretary","1398/5/1"
"4857","خدمات","فناوری اطلاعات","برنامه نویسی c++","-","1","1","0","0","6","9","1","3","5","0","4","3","1","5","2","ندارد","کاردانی کامپیوتر","27","83","0","0","110","هیچ کدام","شایستگی","++Programming c","1398/8/6"
"4858","خدمات","فناوری اطلاعات","پشتيبانی شبکه(Helpdesk) ","-","1","1","0","0","3","1","0","3","5","0","3","3","1","5","3","ندارد","ديپلم","20","30","0","0","50","هیچ کدام","شایستگی","Helpdesk","1398/7/15"
"4859","خدمات","فناوری اطلاعات","کار با +Network plus","-","1","1","0","0","2","1","0","3","5","0","3","3","1","5","3","ندارد","ديپلم","15","25","0","0","40","هیچ کدام","شایستگی","+Network","1398/7/15"
